Date,Fund,NAV,India_10Y_Yield,Total_AUM_Lakhs,Reported_NAV_Total,Cash_Liquidity,AAA_Sovereign,AA_Rated,Below_AA
17-11-2023,SBI,42.8328,7.212,266121.01,100,0,36.71041838,56.36792453,6.921657096
20-11-2023,SBI,42.8439,7.252,266121.01,100,0,36.71041838,56.36792453,6.921657096
21-11-2023,SBI,42.8285,7.269,266121.01,100,0,36.71041838,56.36792453,6.921657096
22-11-2023,SBI,42.8496,7.247,266121.01,100,0,36.71041838,56.36792453,6.921657096
23-11-2023,SBI,42.8526,7.253,266121.01,100,0,36.71041838,56.36792453,6.921657096
24-11-2023,SBI,42.832,7.272,266121.01,100,0,36.71041838,56.36792453,6.921657096
28-11-2023,SBI,42.8718,7.273,266121.01,100,0,36.71041838,56.36792453,6.921657096
29-11-2023,SBI,42.8887,7.252,266121.01,100,0,36.71041838,56.36792453,6.921657096
30-11-2023,SBI,42.8843,7.279,266121.01,100,0,36.71041838,56.36792453,6.921657096
01-12-2023,SBI,42.8873,7.29,263275.37,100,0,34.22053232,54.92755113,10.85191656
04-12-2023,SBI,42.9273,7.271,263275.37,100,0,34.22053232,54.92755113,10.85191656
05-12-2023,SBI,42.9369,7.262,263275.37,100,0,34.22053232,54.92755113,10.85191656
06-12-2023,SBI,42.9468,7.248,263275.37,100,0,34.22053232,54.92755113,10.85191656
07-12-2023,SBI,42.9582,7.236,263275.37,100,0,34.22053232,54.92755113,10.85191656
08-12-2023,SBI,42.9565,7.266,263275.37,100,0,34.22053232,54.92755113,10.85191656
11-12-2023,SBI,42.9769,7.281,263275.37,100,0,34.22053232,54.92755113,10.85191656
12-12-2023,SBI,42.978,7.275,263275.37,100,0,34.22053232,54.92755113,10.85191656
13-12-2023,SBI,42.9876,7.259,263275.37,100,0,34.22053232,54.92755113,10.85191656
14-12-2023,SBI,43.023,7.194,263275.37,100,0,34.22053232,54.92755113,10.85191656
15-12-2023,SBI,43.0652,7.163,263275.37,100,0,34.22053232,54.92755113,10.85191656
18-12-2023,SBI,43.0982,7.153,263275.37,100,0,34.22053232,54.92755113,10.85191656
19-12-2023,SBI,43.1031,7.171,263275.37,100,0,34.22053232,54.92755113,10.85191656
20-12-2023,SBI,43.1124,7.171,263275.37,100,0,34.22053232,54.92755113,10.85191656
21-12-2023,SBI,43.1193,7.184,263275.37,100,0,34.22053232,54.92755113,10.85191656
22-12-2023,SBI,43.1267,7.188,263275.37,100,0,34.22053232,54.92755113,10.85191656
26-12-2023,SBI,43.1616,7.183,263275.37,100,0,34.22053232,54.92755113,10.85191656
27-12-2023,SBI,43.157,7.205,263275.37,100,0,34.22053232,54.92755113,10.85191656
28-12-2023,SBI,43.1585,7.207,263275.37,100,0,34.22053232,54.92755113,10.85191656
29-12-2023,SBI,43.1884,7.176,263275.37,100,0,34.22053232,54.92755113,10.85191656
01-01-2024,SBI,43.2078,7.196,260127.3,100,0,32.20321302,58.96098477,8.835802212
02-01-2024,SBI,43.2141,7.206,260127.3,100,0,32.20321302,58.96098477,8.835802212
03-01-2024,SBI,43.2157,7.216,260127.3,100,0,32.20321302,58.96098477,8.835802212
04-01-2024,SBI,43.2166,7.22,260127.3,100,0,32.20321302,58.96098477,8.835802212
05-01-2024,SBI,43.2163,7.235,260127.3,100,0,32.20321302,58.96098477,8.835802212
08-01-2024,SBI,43.2535,7.203,260127.3,100,0,32.20321302,58.96098477,8.835802212
09-01-2024,SBI,43.268,7.189,260127.3,100,0,32.20321302,58.96098477,8.835802212
10-01-2024,SBI,43.281,7.178,260127.3,100,0,32.20321302,58.96098477,8.835802212
11-01-2024,SBI,43.2888,7.165,260127.3,100,0,32.20321302,58.96098477,8.835802212
12-01-2024,SBI,43.2989,7.178,260127.3,100,0,32.20321302,58.96098477,8.835802212
15-01-2024,SBI,43.3449,7.148,260127.3,100,0,32.20321302,58.96098477,8.835802212
16-01-2024,SBI,43.3456,7.146,260127.3,100,0,32.20321302,58.96098477,8.835802212
17-01-2024,SBI,43.3492,7.163,260127.3,100,0,32.20321302,58.96098477,8.835802212
18-01-2024,SBI,43.3426,7.178,260127.3,100,0,32.20321302,58.96098477,8.835802212
19-01-2024,SBI,43.3472,7.184,260127.3,100,0,32.20321302,58.96098477,8.835802212
23-01-2024,SBI,43.3835,7.174,260127.3,100,0,32.20321302,58.96098477,8.835802212
24-01-2024,SBI,43.3853,7.181,260127.3,100,0,32.20321302,58.96098477,8.835802212
25-01-2024,SBI,43.3848,7.171,260127.3,100,0,32.20321302,58.96098477,8.835802212
29-01-2024,SBI,43.4257,7.171,260127.3,100,0,32.20321302,58.96098477,8.835802212
30-01-2024,SBI,43.4314,7.155,260127.3,100,0,32.20321302,58.96098477,8.835802212
31-01-2024,SBI,43.4453,7.144,260127.3,100,0,32.20321302,58.96098477,8.835802212
01-02-2024,SBI,43.4948,7.064,255689.38,100,0,29.93839836,61.28336756,8.778234086
02-02-2024,SBI,43.5182,7.05,255689.38,100,0,29.93839836,61.28336756,8.778234086
05-02-2024,SBI,43.5261,7.091,255689.38,100,0,29.93839836,61.28336756,8.778234086
06-02-2024,SBI,43.5326,7.092,255689.38,100,0,29.93839836,61.28336756,8.778234086
07-02-2024,SBI,43.5457,7.074,255689.38,100,0,29.93839836,61.28336756,8.778234086
08-02-2024,SBI,43.5507,7.082,255689.38,100,0,29.93839836,61.28336756,8.778234086
09-02-2024,SBI,43.5493,7.114,255689.38,100,0,29.93839836,61.28336756,8.778234086
12-02-2024,SBI,43.6199,7.097,255689.38,100,0,29.93839836,61.28336756,8.778234086
13-02-2024,SBI,43.6282,7.097,255689.38,100,0,29.93839836,61.28336756,8.778234086
14-02-2024,SBI,43.6244,7.114,255689.38,100,0,29.93839836,61.28336756,8.778234086
15-02-2024,SBI,43.6507,7.085,255689.38,100,0,29.93839836,61.28336756,8.778234086
16-02-2024,SBI,43.6565,7.099,255689.38,100,0,29.93839836,61.28336756,8.778234086
20-02-2024,SBI,43.7014,7.062,255689.38,100,0,29.93839836,61.28336756,8.778234086
21-02-2024,SBI,43.7238,7.045,255689.38,100,0,29.93839836,61.28336756,8.778234086
22-02-2024,SBI,43.7337,7.062,255689.38,100,0,29.93839836,61.28336756,8.778234086
23-02-2024,SBI,43.7351,7.077,255689.38,100,0,29.93839836,61.28336756,8.778234086
26-02-2024,SBI,43.7679,7.063,255689.38,100,0,29.93839836,61.28336756,8.778234086
27-02-2024,SBI,43.7717,7.068,255689.38,100,0,29.93839836,61.28336756,8.778234086
28-02-2024,SBI,43.7833,7.065,255689.38,100,0,29.93839836,61.28336756,8.778234086
29-02-2024,SBI,43.7869,7.078,255689.38,100,0,29.93839836,61.28336756,8.778234086
01-03-2024,SBI,43.7992,7.06,250612.04,100,0,23.70086091,62.47277253,13.82636656
04-03-2024,SBI,43.8287,7.06,250612.04,100,0,23.70086091,62.47277253,13.82636656
05-03-2024,SBI,43.8386,7.057,250612.04,100,0,23.70086091,62.47277253,13.82636656
06-03-2024,SBI,43.8548,7.054,250612.04,100,0,23.70086091,62.47277253,13.82636656
07-03-2024,SBI,43.8727,7.031,250612.04,100,0,23.70086091,62.47277253,13.82636656
11-03-2024,SBI,43.9211,7.014,250612.04,100,0,23.70086091,62.47277253,13.82636656
12-03-2024,SBI,43.9255,7.026,250612.04,100,0,23.70086091,62.47277253,13.82636656
13-03-2024,SBI,43.9307,7.039,250612.04,100,0,23.70086091,62.47277253,13.82636656
14-03-2024,SBI,43.9329,7.041,250612.04,100,0,23.70086091,62.47277253,13.82636656
15-03-2024,SBI,43.94,7.062,250612.04,100,0,23.70086091,62.47277253,13.82636656
18-03-2024,SBI,43.9425,7.087,250612.04,100,0,23.70086091,62.47277253,13.82636656
19-03-2024,SBI,43.9403,7.095,250612.04,100,0,23.70086091,62.47277253,13.82636656
20-03-2024,SBI,43.9509,7.097,250612.04,100,0,23.70086091,62.47277253,13.82636656
21-03-2024,SBI,43.9751,7.05,250612.04,100,0,23.70086091,62.47277253,13.82636656
22-03-2024,SBI,43.972,7.087,250612.04,100,0,23.70086091,62.47277253,13.82636656
26-03-2024,SBI,43.9996,7.089,250612.04,100,0,23.70086091,62.47277253,13.82636656
27-03-2024,SBI,44.0223,7.072,250612.04,100,0,23.70086091,62.47277253,13.82636656
28-03-2024,SBI,44.0766,7.052,250612.04,100,0,23.70086091,62.47277253,13.82636656
31-03-2024,SBI,44.1012,7.052,250612.04,100,0,23.70086091,62.47277253,13.82636656
02-04-2024,SBI,44.0974,7.108,247864.69,100,0,23.55784062,62.15938303,14.28277635
03-04-2024,SBI,44.1037,7.104,247864.69,100,0,23.55784062,62.15938303,14.28277635
04-04-2024,SBI,44.1161,7.094,247864.69,100,0,23.55784062,62.15938303,14.28277635
05-04-2024,SBI,44.1241,7.117,247864.69,100,0,23.55784062,62.15938303,14.28277635
08-04-2024,SBI,44.1313,7.154,247864.69,100,0,23.55784062,62.15938303,14.28277635
